certification_ref,provider,provider_category,certification_name,exam_code,level,focus_area,price_usd,validity_months,status,exam_platform,official_url,source
Snowflake|SnowPro Core|COF-C03,Snowflake,Plataforma de Datos,SnowPro Core,COF-C03,Core,Arquitectura Snowflake / Carga de datos / Seguridad,175,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/snowpro-core/,research/certifications.csv
Snowflake|SnowPro Specialty: Gen AI|GES-C01,Snowflake,Plataforma de Datos,SnowPro Specialty: Gen AI,GES-C01,Specialty,GenAI / Cortex AI / LLM Functions / RAG,225,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/,research/certifications.csv
Snowflake|SnowPro Specialty: Snowpark|SPS-C01,Snowflake,Plataforma de Datos,SnowPro Specialty: Snowpark,SPS-C01,Specialty,Snowpark / Python / ML en Snowflake,225,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/,research/certifications.csv
Snowflake|SnowPro Specialty: Native Apps|NAS-C01,Snowflake,Plataforma de Datos,SnowPro Specialty: Native Apps,NAS-C01,Specialty,Native App Framework / Streamlit / Marketplace,225,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/,research/certifications.csv
Snowflake|SnowPro Advanced: Architect|ARA-C01,Snowflake,Plataforma de Datos,SnowPro Advanced: Architect,ARA-C01,Advanced,Arquitectura de soluciones / Multi-cloud / DR,375,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/snowpro-advanced-architect/,research/certifications.csv
Snowflake|SnowPro Advanced: Data Engineer|DEA-C02,Snowflake,Plataforma de Datos,SnowPro Advanced: Data Engineer,DEA-C02,Advanced,Pipelines avanzados / Streams / Tasks / Tuning,375,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/,research/certifications.csv
Snowflake|SnowPro Advanced: Data Scientist|DSA-C03,Snowflake,Plataforma de Datos,SnowPro Advanced: Data Scientist,DSA-C03,Advanced,ML en Snowflake / Snowpark ML / Feature Engineering,375,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/,research/certifications.csv
Snowflake|SnowPro Advanced: Data Analyst|DAA-C01,Snowflake,Plataforma de Datos,SnowPro Advanced: Data Analyst,DAA-C01,Advanced,SQL avanzado / Snowsight / Data Storytelling,375,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/,research/certifications.csv
Snowflake|SnowPro Advanced: Administrator|ADA-C02,Snowflake,Plataforma de Datos,SnowPro Advanced: Administrator,ADA-C02,Advanced,Account Admin / Cost Optimization / Governance,375,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/,research/certifications.csv
Snowflake|SnowPro Advanced: Security Engineer|SEA-C01,Snowflake,Plataforma de Datos,SnowPro Advanced: Security Engineer,SEA-C01,Advanced,RBAC / Encriptación / Column Masking / Audit,375,24,Activa,Pearson VUE,https://learn.snowflake.com/en/certifications/,research/certifications.csv
dbt Labs|dbt Analytics Engineering Certification|,dbt Labs,Analytics Engineering,dbt Analytics Engineering Certification,,Professional,dbt Core / Data Modeling / SQL Transformations / Testing,200,24,Activa,Examity,https://www.getdbt.com/certifications/analytics-engineer-certification-exam,research/certifications.csv
NVIDIA|NVIDIA-Certified Associate – AI Infrastructure and Operations|NCA-AIIO,NVIDIA,AI / GPU Computing,NVIDIA-Certified Associate – AI Infrastructure and Operations,NCA-AIIO,Associate,AI Infrastructure / GPU Compute / Operaciones,125,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/ai-infrastructure-operations-associate/,research/certifications.csv
NVIDIA|NVIDIA-Certified Associate – Generative AI with LLMs|NCA-GENL,NVIDIA,AI / GPU Computing,NVIDIA-Certified Associate – Generative AI with LLMs,NCA-GENL,Associate,GenAI / LLMs / Prompt Engineering,125,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/generative-ai-llm-associate/,research/certifications.csv
NVIDIA|NVIDIA-Certified Associate – Generative AI Multimodal|NCA-GENM,NVIDIA,AI / GPU Computing,NVIDIA-Certified Associate – Generative AI Multimodal,NCA-GENM,Associate,GenAI Multimodal / Texto / Imagen / Audio,125,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/generative-ai-multimodal-associate/,research/certifications.csv
NVIDIA|NVIDIA-Certified Associate – Accelerated Data Science|NCA-ADS,NVIDIA,AI / GPU Computing,NVIDIA-Certified Associate – Accelerated Data Science,NCA-ADS,Associate,Data Science con GPU / RAPIDS / cuDF / cuML,125,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/accelerated-data-science-associate/,research/certifications.csv
NVIDIA|NVIDIA-Certified Professional – AI Infrastructure|NCP-AII,NVIDIA,AI / GPU Computing,NVIDIA-Certified Professional – AI Infrastructure,NCP-AII,Professional,Deploy y config de clusters DGX/HGX,400,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/ai-infrastructure-professional/,research/certifications.csv
NVIDIA|NVIDIA-Certified Professional – AI Operations|NCP-AIO,NVIDIA,AI / GPU Computing,NVIDIA-Certified Professional – AI Operations,NCP-AIO,Professional,Monitoreo y optimización de infraestructura AI (lab práctico),500,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/ai-operations-professional/,research/certifications.csv
NVIDIA|NVIDIA-Certified Professional – AI Networking|NCP-AIN,NVIDIA,AI / GPU Computing,NVIDIA-Certified Professional – AI Networking,NCP-AIN,Professional,InfiniBand / Spectrum Networking / GPU Interconnects,400,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/ai-networking-professional/,research/certifications.csv
NVIDIA|NVIDIA-Certified Professional – Accelerated Data Science|NCP-ADS,NVIDIA,AI / GPU Computing,NVIDIA-Certified Professional – Accelerated Data Science,NCP-ADS,Professional,Pipelines Data Science en producción / RAPIDS / MLOps,200,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/accelerated-data-science-professional/,research/certifications.csv
NVIDIA|NVIDIA-Certified Professional – Generative AI with LLMs|NCP-GENL,NVIDIA,AI / GPU Computing,NVIDIA-Certified Professional – Generative AI with LLMs,NCP-GENL,Professional,LLM Training / Fine-tuning / Inference / NVIDIA NIM,200,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/generative-ai-llm-professional/,research/certifications.csv
NVIDIA|NVIDIA-Certified Professional – Agentic AI|NCP-AAI,NVIDIA,AI / GPU Computing,NVIDIA-Certified Professional – Agentic AI,NCP-AAI,Professional,Sistemas Agénticos / Multi-agent Orchestration,200,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/,research/certifications.csv
NVIDIA|NVIDIA-Certified Professional – OpenUSD Development|NCP-OUSD,NVIDIA,AI / GPU Computing,NVIDIA-Certified Professional – OpenUSD Development,NCP-OUSD,Professional,OpenUSD / 3D Content / Simulación,200,24,Activa,Certiverse,https://www.nvidia.com/en-us/learn/certification/openusd-development-professional/,research/certifications.csv
IBM|IBM Certified watsonx Data Scientist – Associate|C1000-177,IBM,AI / Datos,IBM Certified watsonx Data Scientist – Associate,C1000-177,Associate,Data Science / AutoAI / watsonx.ai,200,24,Activa,Pearson VUE,https://www.ibm.com/training/certification/ibm-certified-watsonx-data-scientist-associate-C9006400,research/certifications.csv
IBM|IBM Certified watsonx Generative AI Engineer – Associate|C1000-185,IBM,AI / Datos,IBM Certified watsonx Generative AI Engineer – Associate,C1000-185,Associate,GenAI / LLMs / Prompt Engineering / watsonx.ai,200,24,Activa,Pearson VUE,https://www.ibm.com/training/certification/ibm-certified-watsonx-generative-ai-engineer-associate-C9007000,research/certifications.csv
IBM|IBM Certified watsonx AI Assistant Engineer – Professional|C1000-180,IBM,AI / Datos,IBM Certified watsonx AI Assistant Engineer – Professional,C1000-180,Professional,watsonx Assistant / LLM Governance / NLP,200,24,Activa,Pearson VUE,https://www.ibm.com/training/certification/ibm-certified-watsonx-ai-assistant-engineer-v1-professional-C9006900,research/certifications.csv
IBM|IBM Certified Architect – Cloud Pak for Data v4.7|C1000-173,IBM,AI / Datos,IBM Certified Architect – Cloud Pak for Data v4.7,C1000-173,Architect,Data Fabric / AI/ML Governance / Cloud Pak for Data,200,24,Activa,Pearson VUE,https://www.ibm.com/certify/cert?id=C1000-173,research/certifications.csv
IBM|IBM Certified Specialist – AI Enterprise Workflow V1|C0004400,IBM,AI / Datos,IBM Certified Specialist – AI Enterprise Workflow V1,C0004400,Specialist,AI Workflow Empresarial / Data Science Lifecycle / Watson Studio,200,24,Activa,Pearson VUE,https://www.ibm.com/certify/cert?id=C0004400,research/certifications.csv
Tableau (Salesforce)|Salesforce Certified Tableau Desktop Foundations|Analytics-101,Tableau (Salesforce),Business Intelligence,Salesforce Certified Tableau Desktop Foundations,Analytics-101,Foundation,BI / Visualización de datos básica,100,,Activa,Trailhead Academy,https://trailheadacademy.salesforce.com/certificate/exam-tableau-desktop-found---Analytics-101,research/certifications.csv
Tableau (Salesforce)|Salesforce Certified Tableau Data Analyst|Analytics-DA-201,Tableau (Salesforce),Business Intelligence,Salesforce Certified Tableau Data Analyst,Analytics-DA-201,Professional,Data Analytics / Visualización avanzada,250,24,Activa,Trailhead Academy,https://trailheadacademy.salesforce.com/certificate/exam-tableau-data-analyst---Analytics-DA-201,research/certifications.csv
Tableau (Salesforce)|Salesforce Certified Tableau Consultant|Analytics-Con-301,Tableau (Salesforce),Business Intelligence,Salesforce Certified Tableau Consultant,Analytics-Con-301,Professional,BI / Consultoría de Analytics,200,24,Activa,Trailhead Academy,https://trailheadacademy.salesforce.com/certificate/exam-tableau-consultant---Analytics-Con-301,research/certifications.csv
Tableau (Salesforce)|Salesforce Certified Tableau Architect|Analytics-Arch-201,Tableau (Salesforce),Business Intelligence,Salesforce Certified Tableau Architect,Analytics-Arch-201,Expert,Arquitectura Tableau Server y Cloud,400,24,Activa,Trailhead Academy,https://trailheadacademy.salesforce.com/certificate/exam-tableau-architect---Analytics-Arch-201,research/certifications.csv
Qlik|Qlik Sense Business Analyst|QSBA2024,Qlik,Business Intelligence,Qlik Sense Business Analyst,QSBA2024,Professional,BI / Analytics / Visualización,250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications,research/certifications.csv
Qlik|Qlik Sense Data Architect|QSDA2024,Qlik,Business Intelligence,Qlik Sense Data Architect,QSDA2024,Professional,Arquitectura de datos / Analytics,250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications,research/certifications.csv
Qlik|Qlik Sense System Administrator|QSSA2024,Qlik,Business Intelligence,Qlik Sense System Administrator,QSSA2024,Professional,Administración de plataforma Qlik,250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications,research/certifications.csv
Qlik|Qlik AI Specialist|QAIS,Qlik,Business Intelligence,Qlik AI Specialist,QAIS,Specialist,AI / ML / GenAI en Qlik,250,24,Activa,Qlik Learning Platform,https://learning.qlik.com/student/page/2537679-qlik-ai-specialist-certification-exam,research/certifications.csv
Qlik|Qlik Talend Cloud Administrator|TCCA,Qlik,Business Intelligence,Qlik Talend Cloud Administrator,TCCA,Professional,Cloud Data Integration / Administración,250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications,research/certifications.csv
Qlik|Qlik Talend Data Integration Administrator|TDICA,Qlik,Business Intelligence,Qlik Talend Data Integration Administrator,TDICA,Professional,Data Integration / Administración,250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications,research/certifications.csv
Qlik|Qlik Talend Data Quality Implementer|TDQCI,Qlik,Business Intelligence,Qlik Talend Data Quality Implementer,TDQCI,Professional,Calidad de datos,250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications,research/certifications.csv
Qlik|Qlik Talend Data Catalog Implementer|TDCCI,Qlik,Business Intelligence,Qlik Talend Data Catalog Implementer,TDCCI,Professional,Data Catalog / Governance,250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications,research/certifications.csv
Qlik|Qlik Talend Big Data Developer|TBDCDTS,Qlik,Business Intelligence,Qlik Talend Big Data Developer,TBDCDTS,Professional,Big Data / Data Integration (Talend Studio),250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications,research/certifications.csv
Qlik|Qlik Talend Data Integration Developer|TDICDTS,Qlik,Business Intelligence,Qlik Talend Data Integration Developer,TDICDTS,Professional,Data Integration Development (Talend Studio),250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications,research/certifications.csv
Qlik|Qlik Replicate|QREP,Qlik,Business Intelligence,Qlik Replicate,QREP,Professional,Data Integration / CDC / Replicación,250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications,research/certifications.csv
Qlik|Qlik Compose|QCOM,Qlik,Business Intelligence,Qlik Compose,QCOM,Professional,Data Warehousing / Integración,250,24,Activa,Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications,research/certifications.csv
Qlik|QlikView Business Analyst (Legacy)|QV12BA,Qlik,Business Intelligence,QlikView Business Analyst (Legacy),QV12BA,Professional,BI / Analytics (QlikView),250,24,Activa (Legacy),Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications,research/certifications.csv
Qlik|QlikView Data Architect (Legacy)|QV12DA,Qlik,Business Intelligence,QlikView Data Architect (Legacy),QV12DA,Professional,Arquitectura de datos (QlikView),250,24,Activa (Legacy),Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications,research/certifications.csv
Qlik|QlikView System Administrator (Legacy)|QV12SA,Qlik,Business Intelligence,QlikView System Administrator (Legacy),QV12SA,Professional,Administración de plataforma (QlikView),250,24,Activa (Legacy),Qlik Learning Platform,https://www.qlik.com/us/services/training/certifications,research/certifications.csv
Confluent|Confluent Fundamentals Accreditation|,Confluent,Data Streaming,Confluent Fundamentals Accreditation,,Foundational,Apache Kafka Fundamentals / Streaming,0,24,Activa,Portal Confluent,https://training.confluent.io/learningpath/confluent-fundamentals-accreditation,research/certifications.csv
Confluent|Confluent Certified Developer for Apache Kafka|CCDAK,Confluent,Data Streaming,Confluent Certified Developer for Apache Kafka,CCDAK,Professional,Kafka Development / Producers / Consumers / Streams,150,24,Activa,Portal Confluent,https://training.confluent.io/examdetail/confluent-dev,research/certifications.csv
Confluent|Confluent Certified Administrator for Apache Kafka|CCAAK,Confluent,Data Streaming,Confluent Certified Administrator for Apache Kafka,CCAAK,Professional,Kafka Administration / Clusters / Monitoreo,150,24,Activa,Portal Confluent,https://www.confluent.io/certification/,research/certifications.csv
Confluent|Confluent Cloud Certified Operator|CCAC,Confluent,Data Streaming,Confluent Cloud Certified Operator,CCAC,Professional,Confluent Cloud / Cluster Linking / Stream Governance,150,24,Activa,Portal Confluent,https://training.confluent.io/examdetail/confluent-cloud-certified-operator,research/certifications.csv
MongoDB|MongoDB Associate Developer|C100DEV,MongoDB,Base de Datos NoSQL,MongoDB Associate Developer,C100DEV,Associate,NoSQL Development / Node.js / Python / Java,150,,Activa (version-tied),MongoDB University,https://learn.mongodb.com/pages/mongodb-associate-developer-exam,research/certifications.csv
MongoDB|MongoDB Associate Database Administrator|C100DBA,MongoDB,Base de Datos NoSQL,MongoDB Associate Database Administrator,C100DBA,Associate,Database Administration / Deployment / Seguridad,150,,Activa (version-tied),MongoDB University,https://learn.mongodb.com/pages/mongodb-associate-database-administrator-exam,research/certifications.csv
MongoDB|MongoDB Associate Data Modeler|,MongoDB,Base de Datos NoSQL,MongoDB Associate Data Modeler,,Associate,Diseño de esquemas / Patrones de modelado NoSQL,150,,Activa (version-tied),MongoDB University,https://learn.mongodb.com/pages/mongodb-associate-data-modeler-exam,research/certifications.csv
MongoDB|MongoDB Associate Atlas Administrator|,MongoDB,Base de Datos NoSQL,MongoDB Associate Atlas Administrator,,Associate,MongoDB Atlas / Cloud / Operaciones / Escalado,150,,Activa (version-tied),MongoDB University,https://learn.mongodb.com/pages/mongodb-associate-atlas-administrator-exam,research/certifications.csv
Oracle|OCI 2025 AI Foundations Associate|1Z0-1122-25,Oracle,Cloud / Datos / AI,OCI 2025 AI Foundations Associate,1Z0-1122-25,Associate,AI / ML Fundamentos / Servicios OCI AI / GenAI,0,24,Activa,Pearson VUE,https://education.oracle.com/oracle-cloud-infrastructure-2025-certified-ai-foundations-associate/trackp_OCI25AICFA,research/certifications.csv
Oracle|OCI 2025 Generative AI Professional|1Z0-1127-25,Oracle,Cloud / Datos / AI,OCI 2025 Generative AI Professional,1Z0-1127-25,Professional,GenAI / RAG / Fine-tuning / OCI GenAI Service,245,24,Activa,Pearson VUE,https://education.oracle.com/oracle-cloud-infrastructure-2025-generative-ai-professional/pexam_1Z0-1127-25,research/certifications.csv
Oracle|OCI 2025 Data Science Professional|1Z0-1110-25,Oracle,Cloud / Datos / AI,OCI 2025 Data Science Professional,1Z0-1110-25,Professional,ML Pipelines / ADS SDK / MLOps en OCI,245,24,Activa,Pearson VUE,https://education.oracle.com/oracle-cloud-infrastructure-2024-data-science-professional/pexam_1Z0-1110-25,research/certifications.csv
Oracle|Oracle Database SQL Specialist|1Z0-071,Oracle,Cloud / Datos / AI,Oracle Database SQL Specialist,1Z0-071,Specialist,SQL / DML / DDL / Índices / Oracle Database,245,24,Activa,Pearson VUE,https://education.oracle.com/,research/certifications.csv
Oracle|Oracle Autonomous Database Cloud Professional|1Z0-931-21,Oracle,Cloud / Datos / AI,Oracle Autonomous Database Cloud Professional,1Z0-931-21,Professional,Autonomous Data Warehouse / ATP / Oracle ML,245,24,Activa,Pearson VUE,https://education.oracle.com/,research/certifications.csv
SAS Institute|SAS Certified Specialist: Base Programming Using SAS 9|A00-231,SAS Institute,Analytics / ML,SAS Certified Specialist: Base Programming Using SAS 9,A00-231,Specialist,Programación SAS 9.4 / DATA Step / PROC SQL,120,36,Activa,Pearson VUE,https://www.sas.com/en_us/certification/credentials/foundation-tools/programming-fundamentals.html,research/certifications.csv
SAS Institute|SAS Certified Specialist: Machine Learning Using SAS Viya|A00-401,SAS Institute,Analytics / ML,SAS Certified Specialist: Machine Learning Using SAS Viya,A00-401,Specialist,ML Supervisado / Pipelines / Evaluación de modelos,180,36,Activa,Pearson VUE,https://www.sas.com/en_us/certification/credentials/advanced-analytics/machine-learning-using-sas-viya.html,research/certifications.csv
SAS Institute|SAS Certified Specialist: Forecasting and Optimization|A00-403,SAS Institute,Analytics / ML,SAS Certified Specialist: Forecasting and Optimization,A00-403,Specialist,Series temporales / Forecasting / Optimización,180,36,Activa,Pearson VUE,https://www.sas.com/en_us/certification/credentials/advanced-analytics/forecasting-optimization-using-viya.html,research/certifications.csv
SAS Institute|SAS Certified Specialist: Natural Language Processing and Computer Vision|A00-407,SAS Institute,Analytics / ML,SAS Certified Specialist: Natural Language Processing and Computer Vision,A00-407,Specialist,NLP / Text Analytics / Computer Vision,180,36,Activa,Pearson VUE,https://www.sas.com/en_us/certification/credentials/advanced-analytics/natural-language-computer-vision-specialist.html,research/certifications.csv
SAS Institute|SAS Certified Specialist: Statistics for Machine Learning|A00-412,SAS Institute,Analytics / ML,SAS Certified Specialist: Statistics for Machine Learning,A00-412,Specialist,Estadística para ML / Regresión / ANOVA / Modelos mixtos,180,36,Activa,Pearson VUE,https://www.sas.com/en_us/certification/credentials/advanced-analytics/,research/certifications.csv
SAS Institute|SAS Certified Professional: AI and Machine Learning|A00-401+A00-403+A00-407,SAS Institute,Analytics / ML,SAS Certified Professional: AI and Machine Learning,A00-401+A00-403+A00-407,Professional,AI/ML amplio (automático al obtener 3 Specialist),0,60,Activa,Pearson VUE,https://www.sas.com/en_us/certification/credentials/advanced-analytics/ai-machine-learning-pro.html,research/certifications.csv
